DATE,TICKER,PRICE,COMBINED_ALLOCATION_PERCENT
05/18/2025,SMCI,46.15,N/A
05/18/2025,STX,107.79,N/A
05/18/2025,PLTR,129.52,N/A
05/18/2025,VST,156.62,N/A
05/18/2025,CEG,291.12,N/A
05/18/2025,MRVL,63.76,N/A
05/18/2025,PH,680.40,N/A
05/18/2025,GE,231.78,N/A
05/18/2025,INTC,21.66,N/A
05/18/2025,CDNS,321.56,N/A
05/18/2025,NOW,1040.18,N/A
05/18/2025,GLW,48.22,N/A
05/18/2025,VRT,106.04,N/A
05/18/2025,TMUS,242.66,N/A
05/18/2025,AAPL,211.26,N/A
05/18/2025,META,640.34,N/A
05/18/2025,GOOG,167.43,N/A
05/18/2025,SPY,594.20,N/A
05/18/2025,QQQ,521.51,N/A
05/18/2025,GLD,294.24,N/A
05/18/2025,SLV,29.30,N/A
05/19/2025,IBM,268.41,N/A
05/19/2025,SAP,298.74,N/A
05/19/2025,QTUM,84.86,N/A
05/19/2025,ASML,749.13,N/A
05/19/2025,ORCL,159.64,N/A
05/19/2025,MU,98.65,N/A
05/19/2025,AVGO,230.63,N/A
05/19/2025,DELL,114.28,N/A
05/19/2025,TSM,193.50,N/A
05/19/2025,ARM,132.05,N/A
05/19/2025,SE,162.72,N/A
05/19/2025,HWM,166.24,N/A
05/19/2025,CRWD,444.35,N/A
05/19/2025,NVDA,135.57,N/A
05/19/2025,GEV,446.60,N/A
05/19/2025,SMCI,44.79,N/A
05/19/2025,STX,109.04,N/A
05/19/2025,PLTR,126.33,N/A
05/19/2025,VST,157.32,N/A
05/19/2025,CEG,294.02,N/A
05/19/2025,MRVL,62.56,N/A
05/19/2025,PH,679.28,N/A
05/19/2025,GE,235.29,N/A
05/19/2025,INTC,21.38,N/A
05/19/2025,CDNS,320.30,N/A
05/19/2025,NOW,1025.75,N/A
05/19/2025,GLW,48.13,N/A
05/19/2025,VRT,106.40,N/A
05/19/2025,TMUS,244.25,N/A
05/19/2025,AAPL,208.78,N/A
05/19/2025,META,640.43,N/A
05/19/2025,GOOG,167.87,N/A
05/19/2025,SPY,594.85,N/A
05/19/2025,QQQ,522.01,N/A
05/19/2025,GLD,298.03,N/A
05/19/2025,SLV,29.42,N/A
05/22/2025,IBM,258.37,N/A
05/22/2025,SAP,299.84,N/A
05/22/2025,QTUM,86.92,N/A
05/22/2025,ASML,740.70,N/A
05/22/2025,ORCL,157.31,N/A
05/22/2025,MU,94.83,N/A
05/22/2025,AVGO,230.53,N/A
05/22/2025,DELL,111.95,N/A
05/22/2025,TSM,196.19,N/A
05/22/2025,ARM,129.28,N/A
05/22/2025,SE,160.69,N/A
05/22/2025,HWM,163.01,N/A
05/22/2025,CRWD,444.07,N/A
05/22/2025,NVDA,132.83,N/A
05/22/2025,GEV,458.82,N/A
05/22/2025,SMCI,41.32,N/A
05/22/2025,STX,108.86,N/A
05/22/2025,PLTR,122.29,N/A
05/22/2025,VST,154.72,N/A
05/22/2025,CEG,291.47,N/A
05/22/2025,MRVL,61.85,N/A
05/22/2025,PH,657.35,N/A
05/22/2025,GE,230.27,N/A
05/22/2025,INTC,20.55,N/A
05/22/2025,CDNS,316.63,N/A
05/22/2025,NOW,1015.77,N/A
05/22/2025,GLW,48.55,N/A
05/22/2025,VRT,104.20,N/A
05/22/2025,TMUS,240.82,N/A
05/22/2025,AAPL,201.36,N/A
05/22/2025,META,636.57,N/A
05/22/2025,GOOG,171.98,N/A
05/22/2025,SPY,583.09,N/A
05/22/2025,QQQ,514.00,N/A
05/22/2025,GLD,303.11,N/A
05/22/2025,SLV,30.03,N/A
05/27/2025,IBM,263.23,N/A
05/27/2025,SAP,301.84,N/A
05/27/2025,QTUM,87.40,N/A
05/27/2025,ASML,756.79,N/A
05/27/2025,ORCL,161.91,N/A
05/27/2025,MU,96.38,N/A
05/27/2025,AVGO,235.65,N/A
05/27/2025,DELL,113.99,N/A
05/27/2025,TSM,197.68,N/A
05/27/2025,ARM,133.96,N/A
05/27/2025,SE,165.24,N/A
05/27/2025,HWM,169.69,N/A
05/27/2025,CRWD,472.22,N/A
05/27/2025,NVDA,135.50,N/A
05/27/2025,GEV,471.51,N/A
05/27/2025,SMCI,41.57,N/A
05/27/2025,STX,117.05,N/A
05/27/2025,PLTR,123.39,N/A
05/27/2025,VST,163.86,N/A
05/27/2025,CEG,309.06,N/A
05/27/2025,MRVL,63.82,N/A
05/27/2025,PH,670.91,N/A
05/27/2025,GE,241.78,N/A
05/27/2025,INTC,20.55,N/A
05/27/2025,CDNS,323.08,N/A
05/27/2025,NOW,1027.39,N/A
05/27/2025,GLW,49.92,N/A
05/27/2025,VRT,109.79,N/A
05/27/2025,TMUS,243.36,N/A
05/27/2025,AAPL,200.21,N/A
05/27/2025,META,642.32,N/A
05/27/2025,GOOG,173.98,N/A
05/27/2025,SPY,591.15,N/A
05/27/2025,QQQ,521.22,N/A
05/27/2025,GLD,304.50,N/A
05/27/2025,SLV,30.23,N/A
